# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	60582
#@/user_id	windows11-caoayu-pc-i512400
bi jiao 	比較 	c=0 d=0 t=60582
bi jiao duo 	比較多	c=1 d=9.90893e-11 t=60582
bi jiao duo 	比較多 	c=0 d=0 t=60582
bi jing 	畢竟	c=4 d=0.408608 t=60582
bi jing 	畢竟 	c=0 d=0 t=60582
bi jing shi 	畢竟是	c=1 d=1.03901e-09 t=60582
bi jing shi 	畢竟是 	c=0 d=0 t=60582
bi li bi li 	嗶哩嗶哩	c=2 d=0.00210172 t=60582
bi li bi li 	嗶哩嗶哩 	c=0 d=0 t=60582
bi mian 	避免	c=4 d=0.0227528 t=60582
bi mian 	避免 	c=0 d=0 t=60582
bi na liang 	比那量	c=1 d=1.87105e-47 t=60582
bi na liang 	比那量 	c=0 d=0 t=60582
bi ru 	比如	c=9 d=0.929104 t=60582
bi ru 	比如 	c=0 d=0 t=60582
bi shi 	筆試	c=2 d=6.31708e-05 t=60582
bi shi 	筆試 	c=0 d=0 t=60582
bi tian 	必填	c=5 d=0.00185305 t=60582
bi tian 	必填 	c=0 d=0 t=60582
bi tian ma 	必填嗎	c=1 d=1.03703e-16 t=60582
bi tian ma 	必填嗎 	c=0 d=0 t=60582
bi tian xiang 	必填項	c=1 d=0.0464212 t=60582
bi tian xiang 	必填項 	c=0 d=0 t=60582
bi wo 	比我	c=4 d=0.67368 t=60582
bi wo 	比我 	c=0 d=0 t=60582
bi xu 	必須	c=7 d=0.366045 t=60582
bi xu 	必須 	c=0 d=0 t=60582
bi xuan 	必選	c=1 d=8.88734e-25 t=60582
bi xuan 	必選 	c=0 d=0 t=60582
bi yan 	閉眼	c=1 d=9.03116e-08 t=60582
bi yan 	閉眼 	c=0 d=0 t=60582
bi yao 	必要	c=4 d=0.00837104 t=60582
bi yao 	必要 	c=0 d=0 t=60582
bi ye 	畢業	c=2 d=2.32996e-10 t=60582
bi ye 	畢業 	c=0 d=0 t=60582
bi zhe 	比這	c=1 d=5.62112e-18 t=60582
bi zhe 	比這 	c=0 d=0 t=60582
bi zhe 	逼着	c=1 d=4.45526e-48 t=60582
bi zhe 	逼着 	c=0 d=0 t=60582
bi zhi 	壁紙	c=2 d=0.214381 t=60582
bi zhi 	壁紙 	c=0 d=0 t=60582
bi zhuang 	必裝	c=1 d=0.856415 t=60582
bi zi 	鼻子	c=1 d=0.215456 t=60582
bi zi 	鼻子 	c=0 d=0 t=60582
bi zui 	閉嘴	c=3 d=2.1401e-10 t=60582
bi zui 	閉嘴 	c=0 d=0 t=60582
bian 	便	c=2 d=5.1318e-06 t=60582
bian 	便 	c=0 d=0 t=60582
bian 	變	c=11 d=0.83527 t=60582
bian 	變 	c=0 d=0 t=60582
bian 	遍	c=3 d=0.000125903 t=60582
bian 	遍 	c=0 d=0 t=60582
bian 	邊	c=4 d=0.0587185 t=60582
