# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3578
#@/user_id	windows11-caoayu-pc-i512400
bu jie 	不接 	c=0 d=0 t=3578
bu jie dong 	不解凍 	c=0 d=0 t=3578
bu jin qu 	不進去 	c=0 d=0 t=3578
bu jiu 	不久	c=2 d=0.385212 t=3578
bu jiu 	不久 	c=0 d=0 t=3578
bu jiu hao le 	不就好了 	c=0 d=0 t=3578
bu jiu shi 	不就是 	c=0 d=0 t=3578
bu jiu xing 	補救性 	c=0 d=0 t=3578
bu jiu xing le 	不就行了 	c=0 d=0 t=3578
bu ju 	佈局 	c=0 d=0 t=3578
bu juan 	不卷 	c=0 d=0 t=3578
bu ka 	不卡 	c=0 d=0 t=3578
bu kai 	不开	c=1 d=0.97531 t=3578
bu kai 	不開 	c=0 d=0 t=3578
bu kan 	不堪 	c=0 d=0 t=3578
bu kao 	不考 	c=0 d=0 t=3578
bu kao lv 	不考慮 	c=0 d=0 t=3578
bu kao pu 	不靠譜 	c=0 d=0 t=3578
bu ke 	不可 	c=0 d=0 t=3578
bu ke neng 	不可能 	c=0 d=0 t=3578
bu ke qi 	不客氣 	c=0 d=0 t=3578
bu ke shou 	不可售 	c=0 d=0 t=3578
bu ke xuan 	不可選 	c=0 d=0 t=3578
bu ke yi 	不可以 	c=0 d=0 t=3578
bu ke yong 	不可用 	c=0 d=0 t=3578
bu kuan 	補款 	c=0 d=0 t=3578
bu le 	不了	c=0 d=0.0307313 t=3578
bu le 	不了 	c=0 d=0 t=3578
bu le yi 	不樂意 	c=0 d=0 t=3578
bu li jie 	不理解 	c=0 d=0 t=3578
bu li wo 	不理我 	c=0 d=0 t=3578
bu lian 	不連 	c=0 d=0 t=3578
bu liang 	不量	c=1 d=0.0023344 t=3578
bu liao 	不了 	c=0 d=0 t=3578
bu ling 	不領 	c=0 d=0 t=3578
bu luo fen 	布洛芬	c=4 d=0.0214531 t=3578
bu ma ren 	不罵人 	c=0 d=0 t=3578
bu mai 	不買 	c=0 d=0 t=3578
bu mai 	不賣 	c=0 d=0 t=3578
bu mai dian 	不買點 	c=0 d=0 t=3578
bu mai le 	不賣了 	c=0 d=0 t=3578
bu men 	部門 	c=0 d=0 t=3578
bu men 	部门	c=1 d=4.94277e-05 t=3578
bu ming bai 	不明白 	c=0 d=0 t=3578
bu nai yong 	不耐用 	c=0 d=0 t=3578
bu nan 	不難 	c=0 d=0 t=3578
bu neng 	不能	c=4 d=0.0116743 t=3578
bu neng 	不能 	c=0 d=0 t=3578
bu neng chao guo 	不能超過 	c=0 d=0 t=3578
bu neng gai 	不能改 	c=0 d=0 t=3578
bu neng ku 	不能哭 	c=0 d=0 t=3578
bu neng ne ge 	不能呢個 	c=0 d=0 t=3578
bu neng ting 	不能停	c=1 d=0.00771183 t=3578
bu neng yong 	不能用 	c=0 d=0 t=3578
bu nong 	不弄 	c=0 d=0 t=3578
bu nong 	布農 	c=0 d=0 t=3578
bu pai chu 	不排除 	c=0 d=0 t=3578
bu pan duan 	不判斷 	c=0 d=0 t=3578
bu pao 	不跑 	c=0 d=0 t=3578
bu pao chu 	不跑出 	c=0 d=0 t=3578
bu pei 	不配 	c=0 d=0 t=3578
bu qi 	不起 	c=0 d=0 t=3578
bu qi 	不騎 	c=0 d=0 t=3578
bu qi 	補齊 	c=0 d=0 t=3578
bu qi chuang 	不起牀 	c=0 d=0 t=3578
bu qi yong 	不启用	c=1 d=0.00369786 t=3578
bu qi yong 	不启用 	c=0 d=0 t=3578
bu qie huan 	不切換 	c=0 d=0 t=3578
bu qing 	不清	c=1 d=0.182684 t=3578
bu qing chu 	不清楚 	c=0 d=0 t=3578
bu qu 	不去	c=1 d=0.869358 t=3578
bu qu 	不去 	c=0 d=0 t=3578
bu qu fen 	不区分 	c=0 d=0 t=3578
bu quan 	不全 	c=0 d=0 t=3578
bu quan 	補全 	c=0 d=0 t=3578
bu que 	不缺 	c=0 d=0 t=3578
bu que ding 	不確定 	c=0 d=0 t=3578
bu ran 	不然	c=2 d=0.0089946 t=3578
